Date,Price,Open,High,Low,Vol.,Change %
11/25/20,13.93,14.15,14.275,13.8,0.35K,0.22%
11/24/20,13.9,13.45,13.9,13.45,0.30K,2.70%
11/23/20,13.535,13.3,13.625,13.3,0.13K,4.96%
11/20/20,12.895,12.7,12.91,12.6,0.41K,-0.96%
11/19/20,13.02,13.475,13.475,13,0.34K,-4.82%
11/18/20,13.68,13.85,13.95,13.59,0.22K,-2.08%
11/17/20,13.97,14.35,14.35,13.85,0.16K,-3.62%
11/16/20,14.495,14.425,14.6,14.42,0.29K,1.79%
11/13/20,14.24,14.2,14.325,14.175,0.28K,1.71%
11/12/20,14,14.05,14.15,13.95,0.29K,-0.67%
11/11/20,14.095,14.05,14.35,14.05,0.29K,0.43%
11/10/20,14.035,13.8,14.15,13.7,0.91K,1.30%
11/9/20,13.855,13.775,14.13,13.55,0.55K,-0.32%
11/6/20,13.9,14.115,14.15,13.885,0.78K,-3.84%
11/5/20,14.455,14.3,14.5,14.3,0.47K,4.11%
11/4/20,13.885,13.725,14.105,13.575,0.36K,1.61%
11/3/20,13.665,13.73,13.925,13.585,0.13K,0.07%
11/2/20,13.655,13.515,13.705,13.515,0.11K,-2.88%
10/30/20,14.06,14.335,14.385,13.925,0.24K,-1.09%
10/29/20,14.215,14.4,14.4,14.125,0.65K,-1.86%
10/28/20,14.485,14.525,14.65,14.4,0.64K,-1.76%
10/27/20,14.745,14.7,14.85,14.375,0.26K,-0.81%
10/26/20,14.865,15.15,15.39,15.15,0.14K,-3.54%
10/23/20,15.41,15.245,15.65,15.245,0.21K,1.02%
10/22/20,15.255,14.825,15.34,14.8,0.37K,2.62%
10/21/20,14.865,14.81,14.95,14.81,0.74K,-0.20%
10/20/20,14.895,14.56,14.98,14.56,1.82K,1.19%
10/19/20,14.72,14.65,14.75,14.65,0.07K,1.52%
10/16/20,14.5,14.525,14.65,14.425,0.07K,1.83%
10/15/20,14.24,14.175,14.175,13.9,0.56K,2.67%
10/14/20,13.87,13.74,13.945,13.74,0.07K,2.02%
10/13/20,13.595,13.69,13.7,13.49,0.35K,-1.77%
10/12/20,13.84,13.61,13.61,13.61,0.02K,0.62%
10/9/20,13.755,13.73,13.87,13.705,0.06K,-1.04%
10/8/20,13.9,13.75,14.05,13.75,0.05K,1.39%
10/7/20,13.71,13.425,13.69,13.425,0.03K,3.04%
10/6/20,13.305,13.225,13.365,13.225,0.09K,-0.86%
10/5/20,13.42,13.385,13.44,13.25,0.15K,3.03%
10/2/20,13.025,12.875,13.13,12.815,0.57K,-1.18%
10/1/20,13.18,13.35,13.405,13.11,0.51K,-0.79%
9/30/20,13.285,13.31,13.31,13.16,0.04K,8.18%
9/29/20,12.28,12.4,12.64,12.265,0.25K,-0.57%
9/28/20,12.35,12.06,12.06,11.95,0.08K,5.87%
9/25/20,11.665,11.5,11.695,11.4,0.35K,0.26%
9/24/20,11.635,11.95,11.95,11.66,0.18K,-3.20%
9/23/20,12.02,11.77,12.04,11.77,0.19K,2.69%
9/22/20,11.705,11.33,11.795,11.26,0.13K,1.83%
9/21/20,11.495,11.5,11.51,11.425,0.08K,0.17%
9/18/20,11.475,11.105,11.38,11.105,0.05K,3.19%
9/17/20,11.12,11.515,11.515,11.13,0.12K,-1.77%
9/16/20,11.32,11.2,11.445,11.2,0.10K,3.90%
9/15/20,10.895,10.85,10.87,10.815,0.05K,1.77%
9/14/20,10.705,10.725,10.8,10.65,0.15K,2.00%
9/11/20,10.495,10.4,10.435,10.37,0.11K,-0.19%
9/10/20,10.515,10.85,10.87,10.465,0.43K,-2.05%
9/9/20,10.735,10.6,10.95,10.6,0.25K,-0.60%
9/8/20,10.8,11.4,11.4,10.79,0.44K,-7.53%
9/4/20,11.68,12.105,12.105,11.85,0.06K,-0.47%
9/3/20,11.735,11.515,11.8,11.5,0.37K,5.63%
9/2/20,11.11,11.4,11.4,10.995,0.12K,-1.64%
9/1/20,11.295,11.2,11.835,11.2,0.38K,0.49%
8/31/20,11.24,11.24,11.24,11.24,,0.63%
8/28/20,11.17,11.125,11.175,11.125,0.02K,25.93%
8/27/20,8.87,9.25,9.275,8.9,1.24K,-3.06%
8/26/20,9.15,9.34,9.34,9.285,0.04K,3.21%
8/25/20,8.865,8.36,8.89,8.36,0.11K,6.04%
8/24/20,8.36,8.125,8.365,8.05,0.44K,9.71%
8/21/20,7.62,7.975,7.975,7.47,0.10K,-6.50%
8/20/20,8.15,8.325,8.375,8.225,0.58K,-2.45%
8/19/20,8.355,8.815,8.85,8.23,0.05K,-2.28%
8/18/20,8.55,8.225,8.72,8.225,0.15K,4.52%
8/17/20,8.18,8.26,8.51,8.15,0.10K,2.00%
8/14/20,8.02,7.45,8.15,7.38,0.33K,9.71%
8/13/20,7.31,7.4,7.48,7.285,0.14K,1.95%
8/12/20,7.17,7.175,7.175,7,0.20K,-3.30%
8/11/20,7.415,7.495,7.935,7.415,0.21K,-2.31%
8/10/20,7.59,8.28,8.28,7.95,0.07K,-4.29%
8/7/20,7.93,7.55,8.3,7.55,0.11K,-0.13%
8/6/20,7.94,7.75,7.95,7.75,0.05K,8.47%
8/5/20,7.32,7.37,7.405,7.28,0.23K,-0.48%
8/4/20,7.355,7.185,7.425,7.13,0.57K,8.16%
8/3/20,6.8,6.33,7,6.33,0.26K,12.86%
7/31/20,6.025,6,6,6,0.03K,15.31%
7/30/20,5.225,5.19,5.43,5.13,0.17K,0.97%
